Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
The Adventure of the Red Circle,Q3041819,2345,The Adventure of the Red Circle,
The Adventure of the Bruce-Partington Plans,Q2446784,2346,The Adventure of the Bruce-Partington Plans,
The Adventure of the Dying Detective,Q466166,2347,The Adventure of the Dying Detective,
The Disappearance of Lady Frances Carfax,Q3041826,2348,The Disappearance of Lady Frances Carfax,
The Adventure of the Devil's Foot,Q2466799,2349,The Adventure of the Devil's Foot,
His Last Bow (short story),Q2573817,2350,His Last Bow: An Epilogue of Sherlock Holmes,
"John Halifax, Gentleman",Q6237289,2351,"John Halifax, Gentleman",
The Riddle of the Sands,Q1170204,2360,The Riddle of the Sands,
One of Ours,Q7093535,2369,One of Ours,
Sir Gibbie,Q7526965,2370,Sir Gibbie,
Up from Slavery,Q1568126,2376,Up from Slavery: An Autobiography,
The Canterbury Tales,Q191663,2383,?,
Further Adventures of Lad,Q5509743,2392,Further Adventures of Lad,
New Atlantis,Q1233830,2434,New Atlantis,
The Naturalist on the River Amazons,Q7753268,2440,?,
Eminent Victorians,Q5372505,2447,Eminent Victorians,
The Common Law (Holmes),Q7727010,2449,The Common Law,
Boyhood (novel),Q965704,2450,Boyhood,
Carmen (novella),Q674832,2465,Carmen,
Under Western Eyes,Q3685905,2480,Under Western Eyes,
The History of Henry Esmond,Q3203517,2511,"The History of Henry Esmond, Esq., a Colonel in the Service of Her Majesty Queen Anne",
Redgauntlet,Q3422871,2516,Redgauntlet: A Tale Of The Eighteenth Century,
My Lady Ludlow,Q16387198,2524,My Lady Ludlow,
The Sorrows of Young Werther,Q151883,2527,The Sorrows of Young Werther,
Father and Son (book),Q5437669,2540,Father and Son: A Study of Two Temperaments,
A Doll's House,Q669694,2542,A Doll's House : a play,
Crime and Punishment,Q165318,2554,Crime and Punishment,
The Story of the Glittering Plain,Q7766837,2565,The Story of the Glittering Plain\•Which Has Been Also Called the Land of Living Men or the Acre of the Undying,
Trent's Last Case,Q3824759,2568,Trent's Last Case,
The Longest Journey (novel),Q15999894,2604,The Longest Journey,
The Vicomte of Bragelonne: Ten Years Later,Q769001,2609,The Vicomte De Bragelonne,
The Hunchback of Notre-Dame,Q191380,2610,Notre-Dame De Paris,
A House-Boat on the Styx,Q4657410,2618,A House-Boat on the Styx,
The Idiot,Q210784,2638,The Idiot,
A Room with a View,Q120288,2641,A Room with a View,
Under the Greenwood Tree,Q2251594,2662,"Under the Greenwood Tree; Or, The Mellstock Quire\•A Rural Painting of the Dutch School",
Zanoni,Q1444644,2664,Zanoni,
The Vicar of Wakefield,Q1196205,2667,The Vicar of Wakefield,
Moby-Dick,Q174596,2701,"Moby Dick; Or, The Whale",
Eric Brighteyes,Q5386184,2721,Eric Brighteyes,
Eight Cousins,Q3281243,2726,Eight Cousins,
Allan's Wife and Other Tales,Q4730445,2727,Allan's Wife,
The Golden Dog,Q7737024,2735,The Golden Dog,
The World's Desire,Q4421898,2763,The World's Desire,
Cleopatra (Rider Haggard novel),Q4223361,2769,Cleopatra,
The Good Soldier,Q767802,2775,The Good Soldier,
Cabbages and Kings (literature),Q4233781,2777,Cabbages and Kings,
Jack and Jill: A Village Story,Q6115945,2786,Jack and Jill,
Little Men,Q3902626,2788,Little Men,
Ramona,Q2326609,2802,Ramona,
The Rise of David Levinsky,Q7760882,2803,?,
Rose in Bloom,Q7368002,2804,"Rose in Bloom\•A Sequel to \""Eight Cousins\""",
"With Lee in Virginia, A Story of the American Civil War",Q8028004,2805,With Lee in Virginia: A Story of the American Civil War,
Dubliners,Q459592,2814,Dubliners,
Democracy: An American Novel,Q5255475,2815,"Democracy, an American novel",
The City of the Sun,Q913656,2816,The City of the Sun,
Beautiful Joe,Q3235199,2818,Beautiful Joe,
Undine (novella),Q664813,2825,Undine,
The Ivory Child,Q16934363,2841,The Ivory Child,
Sir Nigel,Q1963997,2845,Sir Nigel,
Antiquities of the Jews,Q1232616,2848,Antiquities of the Jews,
The Jewish War,Q44276,2850,"The Wars of the Jews; Or, The History of the Destruction of Jerusalem",
Quo Vadis (novel),Q335315,2853,Quo Vadis: A Narrative of the Time of Nero,
Moon of Israel (novel),Q6907616,2856,Moon of Israel: A Tale of the Exodus,
Framley Parsonage,Q8565314,2860,Framley Parsonage,
Windsor Castle (novel),Q8024579,2866,Windsor Castle,
The House of the Wolfings,Q7740689,2885,The House of the Wolfings\•A Tale of the House of the Wolfings and All the Kindreds of the Mark Written in Prose and in Verse,
Howards End,Q1146642,2891,?,
Irish Fairy Tales,Q6070722,2892,Irish Fairy Tales,
Following the Equator,Q3954434,2895,Following the Equator: A Journey Around the World,
Man's Place in Nature,Q3234501,2931,Evidence as to Man's Place in Nature,
Where Angels Fear to Tread,Q7993159,2948,Where Angels Fear to Tread,
The Smoky God,Q3792659,3007,"The Smoky God; Or, A Voyage to the Inner World",
Table-Talk (Hazlitt),Q7673114,3020,Table Talk: Essays on Men and Manners,
Desperate Remedies,Q2846293,3044,Desperate Remedies,
The Last Chronicle of Barset,Q7745622,3045,The Last Chronicle of Barset,
The Wood Beyond the World,Q7775713,3055,The Wood Beyond the World,
The Hound of the Baskervilles,Q45192,3070,The Hound of the Baskervilles,
Eight Hundred Leagues on the Amazon,Q1213684,3091,Eight Hundred Leagues on the Amazon,
Two on a Tower,Q7859431,3146,Two on a Tower,
She: A History of Adventure,Q640513,3155,She,
Pursuit of the House-Boat,Q7261591,3169,?,
Fenimore Cooper's Literary Offenses,Q5443477,3172,Fenimore Cooper's Literary Offences,
A Dog's Tale,Q4656534,3174,A Dog's Tale,
Mark Twain's (Burlesque) Autobiography and First Romance,Q6770070,3175,Mark Twain's Burlesque Autobiography,
The Innocents Abroad,Q1211101,3176,The Innocents Abroad,
Roughing It,Q3576767,3177,Roughing It,
The Gilded Age: A Tale of Today,Q16385809,3178,The Gilded Age: A Tale of Today,
The American Claimant,Q7713449,3179,The American Claimant,
A Double Barrelled Detective Story,Q16155864,3180,A Double Barrelled Detective Story,
The Mysterious Stranger,Q2582895,3186,"The Mysterious Stranger, and Other Stories",
Sketches New and Old,Q3058638,3189,Sketches New and Old,
1601 (Mark Twain),Q4551109,3190,1601: Conversation as it was by the Social Fireside in the Time of the Tudors,
Leviathan (book),Q193034,3207,Leviathan,
How to Tell a Story and Other Essays,Q2986173,3250,"How to Tell a Story, and Other Essays",
A Laodicean,Q2105252,3258,A Laodicean : A Story of To-day,
News from Nowhere,Q7019506,3261,"News from Nowhere; Or, An Epoch of Rest\•Being Some Chapters from a Utopian Romance",
The Mysteries of Udolpho,Q2600909,3268,The Mysteries of Udolpho,
The Deerslayer,Q855801,3285,The Deerslayer,
The Valley of Fear,Q863438,3289,The Valley of Fear,
The Sea Hawk,Q7762758,3294,The Sea-Hawk,
The Wealth of Nations,Q233562,3300,An Inquiry into the Nature and Causes of the Wealth of Nations,
East Lynne,Q5328900,3322,East Lynne,
The Well-Beloved,Q2906193,3326,The Well-Beloved: A Sketch of a Temperament,
Dr. Breen's Practice,Q17002120,3364,Dr. Breen's Practice,
Barchester Towers,Q4859885,3409,Barchester Towers,
The Gadfly,Q2426986,3431,The Gadfly,
Under Two Flags (novel),Q7883194,3465,Under Two Flags,
The Hand of Ethelberta,Q2661231,3469,The Hand of Ethelberta: A Comedy in Chapters,
Such Is Life (novel),Q7632777,3470,?,
The King of Ireland's Son,Q7744561,3495,The King of Ireland's Son,
Five Weeks in a Balloon,Q622634,3526,"Five Weeks in a Balloon\•Or, Journeys and Discoveries in Africa by Three Englishmen",
Sunshine Sketches of a Little Town,Q7641568,3533,Sunshine Sketches of a Little Town,
The Enchanted Castle,Q2920166,3536,?,
Heartbreak House,Q5692683,3543,Heartbreak House,
The Ragged-Trousered Philanthropists,Q7759270,3608,The Ragged Trousered Philanthropists,
The Duke's Children,Q7731161,3622,The Duke's Children,
The Golden Bough,Q651283,3623,?,
The Titan (novel),Q4458189,3629,The Titan,
The Rosary (novel),Q7761530,3659,The Rosary,
Foul Play (novel),Q5474155,3702,Foul Play,
The Voyage of the Beagle,Q1768515,3704,"Journal of Researches into the Natural History and Geology of the Countries Visited During the Voyage Round the World of H.M.S. Beagle Under the Command of Captain Fitz Roy, R.N.",
The Decameron,Q16438,3726,?,
The Age of Reason,Q1983019,3743,The Writings of Thomas Paine — Volume 4 (1794-1796): The Age of Reason,
Orlando Furioso,Q48922,3747,?,
Journey to the Center of the Earth,Q219457,3748,A Journey into the Interior of the Earth,
Indiscretions of Archie,Q4317690,3756,Indiscretions of Archie,
Friðþjófs saga hins frœkna,Q397698,3759,?,
Sybil (novel),Q3506752,3760,"Sybil, Or, The Two Nations",
Rejected Addresses,Q7310534,3769,?,
The Jewel of Seven Stars,Q7743210,3781,The Jewel of Seven Stars,
Rilla of Ingleside,Q734757,3796,Rilla of Ingleside,
The Different Forms of Flowers on Plants of the Same Species,Q7730156,3807,?,
Master of the World (novel),Q1122549,3809,The Master of the World,
The Man-eaters of Tsavo,Q3631559,3810,"The Man-Eaters of Tsavo, and Other East African Adventures",
The Swiss Family Robinson,Q665715,3836,Swiss Family Robinson,
Arcadian Adventures with the Idle Rich,Q4785183,4020,Arcadian Adventures with the Idle Rich,
Candida (play),Q3509127,4023,Candida,
Omoo,Q3882301,4045,Omoo: Adventures in the South Seas,
Marius the Epicurean,Q5477441,4057,Marius the Epicurean — Volume 1,
Marius the Epicurean,Q5477441,4058,Marius the Epicurean — Volume 2,
The Fifteen Decisive Battles of the World,Q1263579,4061,The Fifteen Decisive Battles of the World: from Marathon to Waterloo,
The Picture of Dorian Gray,Q82464,4078,The Picture of Dorian Gray,
The Adventures of Peregrine Pickle,Q7712607,4084,The Adventures of Peregrine Pickle,
The Adventures of Roderick Random,Q7712626,4085,The Adventures of Roderick Random,
From Ritual to Romance,Q5505497,4090,?,
Culture and Anarchy,Q5193480,4212,?,
The Oak Openings,Q19095455,4215,Oak Openings,
A Portrait of the Artist as a Young Man,Q465360,4217,A Portrait of the Artist as a Young Man,
Women in Love,Q2443714,4240,Women in Love,
The Golden Bowl,Q1248585,4264,The Golden Bowl — Complete,
Wives and Daughters,Q2453239,4274,Wives and Daughters,
North and South (Gaskell novel),Q1853142,4276,North and South,
Two Years Before the Mast,Q3024921,4277,?,
Critique of Pure Reason,Q220002,4280,The Critique of Pure Reason,
Don Rodriguez: Chronicles of Shadow Valley,Q5293427,4282,Don Rodriguez; Chronicles of Shadow Valley,
The Paying Guest,Q7756406,4298,The Paying Guest,
Ulysses (novel),Q6511,4300,Ulysses,
In the Year of Jubilee,Q19572195,4307,In the Year of Jubilee,
Demos (novel),Q5256356,4309,Demos,
A Life's Morning,Q4657716,4312,A Life's Morning,
The Odd Women,Q7754692,4313,The Odd Women,
An Enquiry Concerning the Principles of Morals,Q1306663,4320,An Enquiry Concerning the Principles of Morals,
Mutual Aid: A Factor of Evolution,Q1498315,4341,Mutual Aid: A Factor of Evolution,
Beyond Good and Evil,Q579794,4363,Beyond Good and Evil,
A Romance of Two Worlds,Q4659270,4394,A Romance of Two Worlds: A Novel,
The Woman Who Did,Q7775505,4396,The Woman Who Did,
As a Man Thinketh,Q4803053,4507,As a Man Thinketh,
Ethan Frome,Q5402934,4517,Ethan Frome,
Aaron's Rod (novel),Q4661765,4520,Aaron's Rod,
Sylvia's Lovers,Q14566477,4537,Sylvia's Lovers — Complete,
In His Steps,Q8017321,4540,In His Steps,
Five Weeks in a Balloon,Q622634,4548,Cinq Semaines En Ballon,
The Border Legion,Q7719393,4552,The Border Legion,
The Luck of Barry Lyndon,Q2124771,4558,Barry Lyndon,
Dialogues Concerning Natural Religion,Q965564,4583,Dialogues Concerning Natural Religion,
The Small House at Allington,Q7764868,4599,The Small House at Allington,
A Hazard of New Fortunes,Q4657268,4600,A Hazard of New Fortunes — Complete,
The Kingdom of God Is Within You,Q143931,4602,"\""The Kingdom of God Is Within You\""\•Christianity Not as a Mystic Religion but as a New Theory of Life",
Angel Island (novel),Q4762193,4637,Angel Island,
The Landlord at Lion's Head,Q17156623,4645,The Landlord at Lion's Head — Complete,
Lives of the Most Eminent English Poets,Q4015014,4678,Johnson's Lives of the Poets — Volume 2,
Lives of the Most Eminent English Poets,Q4015014,4679,Johnson's Lives of the Poets — Volume 1,
Underground (Dreyfus book),Q618245,4686,"Underground: Hacking, madness and obsession on the electronic frontier",
We of the Never Never,Q5116170,4699,We of the Never-Never,
A Treatise of Human Nature,Q2451675,4705,A Treatise of Human Nature,
Brewster's Millions,Q13468119,4709,Brewster's Millions,
Seven Little Australians,Q7457323,4731,Seven Little Australians,
A Tale of a Tub,Q2353123,4737,A Tale of a Tub,
Work: A Story of Experience,Q8034531,4770,?,
Jack Tier,Q4865403,4796,"Jack Tier; Or, The Florida Reef",
The Magic Pudding,Q5497433,4910,?,
Wacousta,Q7958875,4912,Wacousta : a tale of the Pontiac conspiracy (Complete),
The Kellys and the O'Kellys,Q7744082,4917,The Kellys and the O'Kellys,
The Begum's Fortune,Q929899,4968,Les Cinq Cents Millions De La Bégum,
The Whole Family,Q3916757,5066,The Whole Family: a Novel by Twelve Authors,
The Carpathian Castle,Q768605,5082,Le chateâu des Carpathes,
The Man of Feeling,Q7750109,5083,The Man of Feeling,
The American Senator,Q7713563,5118,The American Senator,
The Trail of the Lonesome Pine (novel),Q7769881,5122,The Trail of the Lonesome Pine,
The Fortune of the Rougons,Q2714636,5135,The Fortune of the Rougons,
Rodney Stone,Q4395914,5148,?,
La Bête humaine,Q942810,5154,?,
Caesar's Column,Q5016954,5155,Cæsar's Column: A Story of the Twentieth Century,
The Beetle (novel),Q7716299,5164,?,
The Holy Flower,Q4731051,5174,Allan and the Holy Flower,
The Old English Baron,Q3796165,5182,The Old English Baron: a Gothic Story,
The Metamorphosis,Q184222,5200,Metamorphosis,
Ayesha (novel),Q2604590,5228,"Ayesha, the Return of She",
The Invisible Man,Q1539509,5230,The Invisible Man: A Grotesque Romance,
The Way We Live Now,Q7773866,5231,The Way We Live Now,
The Old Wives' Tale,Q7754941,5247,The Old Wives' Tale,
Journeys of a German in England in 1782,Q6296548,5249,Travels in England in 1782,
Nana (novel),Q1138346,5250,?,
The Ball and the Cross,Q3824160,5265,The Ball and the Cross,
Sister Carrie,Q1286961,5267,Sister Carrie,
Mother Goose in Prose,Q6917355,5312,Mother Goose in Prose,
Effi Briest,Q1296168,5323,Effi Briest,
Journals of Expeditions of Discovery into Central Australia,Q6296280,5346,"Journals of Expeditions of Discovery into Central Australia and Overland from Adelaide to King George's Sound in the Years 1840-1: Sent By the Colonists of South Australia, with the Sanction and Support of the Government: Including an Account of the Manners and Customs of the Aborigines and the State of Their Relations with Europeans — Complete",
Ragged Dick,Q7282890,5348,"Ragged Dick, Or, Street Life in New York with the Boot-Blacks",
Farmers of Forty Centuries,Q5435827,5350,?,
Old Rose and Silver,Q7084871,5401,?,
"Emile, or On Education",Q913599,5427,Emile,
The Power of Movement in Plants,Q4354654,5605,?,
Lord Jim,Q727408,5658,Lord Jim,
Jacob's Room,Q1677745,5670,Jacob's Room,
Critique of Practical Reason,Q870851,5683,The Critique of Practical Reason,
Germinal (novel),Q137869,5711,?,
Le Ventre de Paris,Q338034,5744,The Fat and the Thin,
She and Allan,Q11681425,5745,She and Allan,
The Day of the Dog,Q7729215,5759,The Day of the Dog,
Le Grand Meaulnes,Q1198839,5781,?,
The Problems of Philosophy,Q3393210,5827,The Problems of Philosophy,
Castle Richmond,Q5050241,5897,Castle Richmond,
The Fortunes of Nigel,Q3230799,5950,The Fortunes of Nigel,
Peveril of the Peak,Q3061309,5959,Peveril of the Peak,
Waverley (novel),Q678251,5998,"Waverley; Or, 'Tis Sixty Years Since",
The Journal of a Tour to the Hebrides,Q3521446,6018,?,
The Roots of the Mountains,Q7761520,6050,?,
Evelina,Q1635110,6053,?,
King of the Khyber Rifles,Q6412356,6066,King--of the Khyber Rifles: A Romance of Adventure,
Biographia Literaria,Q803863,6081,Biographia Literaria,
The Vampyre,Q509070,6087,The Vampyre; a Tale,
How Much Land Does a Man Need?,Q1269280,6157,"What Men Live By, and Other Tales",
Hypatia (novel),Q12060647,6308,Hypatia — or New Foes with an Old Face,
The Awakening of Helena Richie,Q7715074,6315,The Awakening of Helena Richie,
Sailing Alone Around the World,Q4354019,6317,Sailing Alone Around the World,
Geological Evidences of the Antiquity of Man,Q4186843,6335,The Antiquity of Man,
Italian Hours,Q3885500,6354,Italian Hours,
The Monastery,Q3224650,6406,The Monastery,
The Abbot,Q2717772,6407,The Abbot,
Captain Singleton,Q1728631,6422,"The Life, Adventures & Piracies of the Famous Captain Singleton",
A Modern Utopia,Q1249074,6424,A Modern Utopia,
Fables for the Frivolous,Q5427940,6438,Fables for the Frivolous,
The Prairie,Q470844,6450,The Prairie,
The Little Lady of the Big House,Q1213402,6455,The Little Lady of the Big House,
Public Opinion (book),Q1768450,6456,?,
Le Ventre de Paris,Q338034,6470,Le Ventre de Paris,
The Children of the New Forest,Q7722508,6471,The Children of the New Forest,
The Iron Woman (novel),Q7742628,6474,The Iron Woman,
Facts and Arguments for Darwin,Q5428802,6475,?,
Chéri (novel),Q1612826,6484,?,
The Betrothed (Scott novel),Q3232591,6490,?,
Supplément au voyage de Bougainville,Q1765222,6501,Supplément au Voyage de Bougainville,
The Fall of the House of Usher,Q1197735,6557,The Fall of the House of Usher,
La Faute de l'Abbé Mouret,Q2610567,6558,La Faute de l'abbé Mouret,
At the Sign of the Reine Pédauque,Q1211706,6571,The Queen Pedauque,
Thérèse Raquin,Q268545,6626,Theresa Raquin,
"St. Cecilia, or the Power of Music",Q302229,6645,?,
Das Käthchen von Heilbronn,Q316826,6646,?,
Penthesilea (Kleist),Q451932,6648,?,
A Strange Manuscript Found in a Copper Cylinder,Q4659834,6709,A Strange Manuscript Found in a Copper Cylinder,
Lichtenstein (novel),Q1823410,6726,?,
Psmith in the City,Q7256099,6753,Psmith in the City,
The Life and Adventures of Sir Launcelot Greaves,Q7747148,6758,The Adventures of Sir Launcelot Greaves,
The Adventures of Ferdinand Count Fathom,Q16385022,6761,The Adventures of Ferdinand Count Fathom — Complete,
The People of the Mist,Q7756660,6769,The People of the Mist,
The Ghost-Seer,Q1193812,6781,The Ghost-Seer; or the Apparitionist; and Sport of Destiny,
The Robbers,Q466333,6782,The Robbers,
Mary Anerley,Q16386908,6824,Mary Anerley: A Yorkshire Tale,
Jill the Reckless,Q4318019,6837,The Little Warrior,
The Last Day of a Condemned Man,Q1199417,6838,?,
Venus in Furs,Q677592,6852,Venus in Furs,
The Head of Kay's,Q7739105,6877,The Head of Kay's,
Old Mortality,Q3234969,6941,"Old Mortality, Complete",
The Antiquary,Q1157183,7005,The Antiquary — Complete,
Rob Roy (novel),Q2156104,7025,Rob Roy — Complete,
Dr. Heidenhoff's Process,Q5304141,7052,Dr. Heidenhoff's Process,
Mankind in the Making,Q16386886,7058,Mankind in the Making,
Fanshawe (novel),Q5434095,7085,?,
Erema,Q16257387,7112,"Erema; Or, My Father's Sin",
The Home and the World,Q7740074,7166,?,
Ecce Homo (book),Q861527,7202,?,
Twilight of the Idols,Q1296318,7203,?,
Beyond Good and Evil,Q579794,7204,?,
The Birth of Tragedy,Q1053359,7206,?,
"Human, All Too Human",Q1364539,7207,?,
Equality (novel),Q5384167,7303,?,
The History of Mr Polly,Q2507552,7308,The History of Mr. Polly,
Indian Summer (novel),Q16386329,7359,Indian Summer,
Two Treatises of Government,Q231949,7370,Second Treatise of Government,
A Sicilian Romance,Q979649,7371,A Sicilian Romance,
The Eustace Diamonds,Q7732627,7381,The Eustace Diamonds,
A Crystal Age,Q4656205,7401,A Crystal Age,
Coningsby (novel),Q5161083,7412,"Coningsby; Or, The New Generation",
Mike (novel),Q4274818,7423,Mike,
The Awkward Age,Q3867271,7433,The Awkward Age,
Springhaven,Q16932611,7435,Springhaven: A Tale of the Great War,
Michael Strogoff,Q1121567,7442,Michel Strogoff: De Moscou a Irkoutsk,
Thérèse Raquin,Q268545,7461,Thérèse Raquin,
The Newcomes,Q3522018,7467,The Newcomes: Memoirs of a Most Respectable Family,
Daniel Deronda,Q552238,7469,Daniel Deronda,
The Book of Wonder,Q7719322,7477,The Book of Wonder,
The Last American (novel),Q7745568,7485,?,
Heidi,Q271697,7500,?,
King Coal,Q16386559,7522,King Coal : a Novel,
The Caxtons,Q16385244,7605,The Caxtons: A Family Picture — Complete,
The Last of the Barons,Q7746222,7727,The Last of the Barons — Complete,
Paul Clifford,Q7149872,7735,Paul Clifford — Complete,
The Lady of The Aroostook,Q7745191,7797,The Lady of the Aroostook,
Hereward the Wake (novel),Q5738318,7815,"Hereward, the Last of the English",
Fifty-One Tales,Q5447612,7838,Fifty-One Tales,
Last Poems,Q6494580,7848,Last Poems by A. E. Housman,
The Trial,Q36097,7849,The Trial,
Quentin Durward,Q2469230,7853,Quentin Durward,
Chymical Wedding of Christian Rosenkreutz,Q2456034,7854,?,
Blind Love (novel),Q4926580,7890,Blind Love,
The Mystery of Cloomber,Q4449924,7964,The Mystery of Cloomber,
The Pilot: A Tale of the Sea,Q4864923,7974,The Pilot: A Tale of the Sea,
The Fair Maid of Perth,Q3209885,7987,"The Fair Maid of Perth; Or, St. Valentine's Day",
The Forme of Cury,Q166358,8102,"The Forme of Cury: A Roll of Ancient English Cookery Compiled, about A.D. 1390",
Demons (Dostoyevsky novel),Q329989,8117,The Possessed (The Devils),
Redburn,Q7305519,8118,Redburn. His First Voyage\•Being the Sailor Boy Confessions and Reminiscences of the Son-Of-A-Gentleman in the Merchant Navy,
A Dreamer's Tales,Q4656595,8129,A Dreamer's Tales,
Esther Waters,Q5401319,8157,Esther Waters,
Kéraban the Inflexible,Q644271,8174,?,
Kéraban the Inflexible,Q644271,8175,?,
Time and the Gods,Q7805268,8183,Time and the Gods,
Mary Marston,Q6780254,8201,Mary Marston,
Edgar Huntly,Q5337298,8223,?,
The Doings of Raffles Haw,Q2026912,8394,The Doings of Raffles Haw,
Love-Letters Between a Nobleman and His Sister,Q3237021,8409,?,
A Traveler from Altruria,Q4660271,8449,A Traveler from Altruria: Romance,
Ghost Stories of an Antiquary,Q1226144,8486,Ghost Stories of an Antiquary,
The King in Yellow,Q1195112,8492,The King in Yellow,
Friðþjófs saga hins frœkna,Q397698,8518,Fritiofs Saga,
Helen (novel),Q16385982,8531,Tales and Novels — Volume 10\•Helen,
L'Assommoir,Q1197590,8558,L'Assommoir,
Doctor Pascal,Q663632,8560,?,
Une page d'amour,Q2409540,8561,?,
La Terre,Q1755607,8563,?,
The Grand Inquisitor,Q1113102,8578,The Grand Inquisitor,
The Story of Ab,Q7766737,8644,The Story of Ab: A Tale of the Time of the Cave Man,
Afloat and Ashore,Q20771260,8647,Afloat and Ashore: A Sea Tale,
A Strange Discovery,Q4659832,8665,A Strange Discovery,
Behind a Mask,Q2893891,8677,"Behind a Mask; or, a Woman's Power",
La Conquête de Plassans,Q634152,8712,La Conquête de Plassans,
The Amber Witch,Q974886,8743,"Mary Schweidler, the amber witch\•The most interesting trial for witchcraft ever known, printed from an imperfect manuscript by her father, Abraham Schweidler, the pastor of Coserow in the island of Usedom / edited by W. Meinhold ; translated from the German by Lady Duff Gordon.",
"Jurgen, A Comedy of Justice",Q4354720,8771,Jurgen: A Comedy of Justice,
The Water of the Wondrous Isles,Q7773721,8778,The Water of the Wondrous Isles,
The Magnificent Ambersons,Q5239187,8867,The Magnificent Ambersons,
Botchan,Q1190533,8868,Botchan (Master Darling),
Satanstoe,Q19231294,8880,"Satanstoe; Or, the Littlepage Manuscripts. A Tale of the Colony",
Lyrical Ballads,Q738958,8905,?,
Pot-Bouille,Q1165442,8907,Pot-Bouille,
The System of Nature,Q1111930,8909,"The System of Nature, or, the Laws of the Moral and Physical World. Volume 1",
The System of Nature,Q1111930,8910,"The System of Nature, or, the Laws of the Moral and Physical World. Volume 2",
Lyrical Ballads,Q738958,8912,?,
The Elect Lady,Q7731695,8944,The Elect Lady,
Lady Audley's Secret,Q2738351,8954,Lady Audley's Secret,
The Survivors of the Chancellor,Q1192756,8989,"The Survivors of the Chancellor: Diary of J.R. Kazallon, Passenger",
The Fur Country,Q1169463,8991,?,
The Mysterious Island,Q471005,8993,?,
Sanin (novel),Q17088580,9051,?,
Harrington (novel),Q16385930,9107,Tales and Novels — Volume 09,
"Dick Sand, A Captain at Fifteen",Q472291,9150,"Dick Sands, the Boy Captain",
Villette (novel),Q2449570,9182,Villette,
The Battle of the Books,Q7715895,9270,The Battle of the Books,
Summer (novel),Q7637251,9285,Summer,
Ethan Frome,Q5402934,9288,Ethan Frome,
The Touchstone,Q7769676,9290,The Touchstone,
The Reef (novel),Q7760006,9291,The Reef,
Ranald Bannerman's Boyhood,Q7290707,9301,Ranald Bannerman's Boyhood,
Victory (novel),Q7927453,9358,Victory: An Island Tale,
The Story of the Malakand Field Force,Q7766841,9404,The Story of the Malakand Field Force: An Episode of Frontier War,
The Trumpet-Major,Q2363473,9435,The Trumpet-Major,
Belinda (Edgeworth novel),Q2894491,9455,Tales and Novels — Volume 03\•Belinda,
Le Rêve (novel),Q741570,9499,The Dream,
Micah Clarke,Q3050442,9504,"Micah Clarke\•His Statement as made to his three grandchildren Joseph,\•Gervas and Reuben During the Hard Winter of 1734",
Lyrical Ballads,Q738958,9622,"Lyrical Ballads, With a Few Other Poems (1798)",
Ghost Stories of an Antiquary,Q1226144,9629,Ghost Stories of an Antiquary Part 2: More Ghost Stories,
More Ghost Stories,Q17016858,9629,Ghost Stories of an Antiquary Part 2: More Ghost Stories,
La Dame de Monsoreau,Q2664833,9637,La dame de Monsoreau — ­Tome 1.,
La Dame de Monsoreau,Q2664833,9638,La dame de Monsoreau — Tome 2.,
La Dame de Monsoreau,Q2664833,9639,La dame de Monsoreau — Tome 3.,
An Enquiry Concerning Human Understanding,Q1306656,9662,An Enquiry Concerning Human Understanding,
Woodstock (novel),Q3569843,9785,"Woodstock; or, the Cavalier",
Mr. Justice Raffles,Q6928800,9806,Mr. Justice Raffles,
The Beautiful and Damned,Q2531205,9830,The Beautiful and Damned,
Vivian Grey,Q7937713,9840,Vivian Grey,
Y Gododdin,Q430891,9842,Y Gododin: A Poem of the Battle of Cattraeth,
In the Sargasso Sea,Q14981036,9906,In the Sargasso Sea\•A Novel,
Nightmare Abbey,Q4054406,9909,Nightmare Abbey,
First Love (novella),Q1189993,9911,The Torrents of Spring,
Torrents of Spring,Q1826666,9911,The Torrents of Spring,
The House on the Borderland,Q740473,10002,The House on the Borderland,
Carmilla,Q1043792,10007,Carmilla,
The Twilight of the Gods and Other Tales,Q7770868,10095,"The Twilight of the Gods, and Other Tales",
Mrs Beeton's Book of Household Management,Q2917183,10136,The Book of Household Management,
Across the Zodiac,Q4676516,10165,Across the Zodiac\•The Story of a Wrecked Record,
In the Fourth Year,Q6012178,10291,In the Fourth Year: Anticipations of a World Peace,
Lady into Fox,Q6470665,10337,Lady into Fox,
An Antarctic Mystery,Q1212137,10339,An Antarctic Mystery,
Precaution (novel),Q4864841,10365,Precaution: A Novel,
The History of a Crime,Q3136618,10381,The History of a Crime\•The Testimony of an Eye-Witness,
Miss Lulu Bett (novel),Q246436,10429,Miss Lulu Bett,
Three Tales (Flaubert),Q2126429,10458,"Three short works\•The Dance of Death, the Legend of Saint Julian the Hospitaller, a Simple Soul.",
"The Boats of the \""Glen Carrig\""",Q1211686,10542,"The Boats of the \""Glen Carrig\""\•Being an account of their Adventures in the Strange places of the Earth, after the foundering of the good ship Glen Carrig through striking upon a hidden rock in the unknown seas to the Southward; as told by John Winterstraw, Gent., to his son James Winterstraw, in the year 1757, and by him committed very properly and legibly to manuscript",
The Purchase of the North Pole,Q594139,10547,Topsy-Turvy,
The Travels of Marco Polo,Q654562,10636,The Travels of Marco Polo — Volume 1,
