Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
A Journal of the Plague Year,Q1215399,376,A Journal of the Plague Year\•Written by a Citizen Who Continued All the While in London,
Tirant lo Blanch,Q559667,378,The White Knight: Tirant Lo Blanc,
Memories and Portraits,Q6815614,381,Memories and Portraits,
The Great God Pan,Q1394704,389,The Great God Pan,
The Song of Roland,Q185427,391,The Song of Roland,
The Blue Lagoon (novel),Q3822730,393,The Blue Lagoon: A Romance,
Cranford (novel),Q265100,394,Cranford,
Penrod,Q7164623,402,Penrod,
The Souls of Black Folk,Q1253660,408,The Souls of Black Folk,
"Winesburg, Ohio (novel)",Q10958564,416,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",
The Magic of Oz,Q7749508,419,The Magic of Oz,
Dorothy and the Wizard in Oz,Q473588,420,Dorothy and the Wizard in Oz,
Kidnapped (novel),Q2349094,421,Kidnapped,
The Romany Rye,Q7761435,422,The Romany Rye,
The Ambassadors,Q650571,432,The Ambassadors,
Underwoods,Q7883924,438,Underwoods,
Just David,Q6315940,440,Just David,
The Shadow Line,Q1120858,451,The Shadow Line: A Confession,
La Princesse de Clèves,Q1157010,467,The Princess of Cleves,
Heretics (book),Q5738287,470,Heretics,
The Bride of Lammermoor,Q2659725,471,The Bride of Lammermoor,
Little Lord Fauntleroy,Q387480,479,Little Lord Fauntleroy,
The Woodlanders,Q2254480,482,The Woodlanders,
Ozma of Oz,Q634885,486,Ozma of Oz,
The Little Lame Prince and his Travelling Cloak,Q7747642,496,The Little Lame Prince,
Rebecca of Sunnybrook Farm,Q7301985,498,Rebecca of Sunnybrook Farm,
Young Goodman Brown,Q595934,512,"Mosses from an Old Manse, and Other Stories",
Little Women,Q523076,514,Little Women,
The Emerald City of Oz,Q1250366,517,The Emerald City of Oz,
The Life and Adventures of Santa Claus,Q4180222,520,The Life and Adventures of Santa Claus,
Ann Veronica,Q1247736,524,Ann Veronica: A Modern Love Story,
Heart of Darkness,Q129778,526,Heart of Darkness,
The Age of Innocence,Q1045464,541,The Age of Innocence,
Main Street (novel),Q6736091,543,Main Street,
At the Earth's Core (novel),Q2870358,545,At the Earth's Core,
Silas Marner,Q638327,550,Silas Marner,
The Thirty-Nine Steps,Q2609365,558,The Thirty-Nine Steps,
Greenmantle,Q5604315,559,Greenmantle,
Mr Standfast,Q16387145,560,Mr. Standfast,
The Farther Adventures of Robinson Crusoe,Q4154269,561,The Further Adventures of Robinson Crusoe,
The Pickwick Papers,Q460583,580,The Pickwick Papers,
The Woman in White (novel),Q1212672,583,The Woman in White,
Vanity Fair (novel),Q612836,599,Vanity Fair,
Notes from Underground,Q695116,600,Notes from the Underground,
The Monk,Q2659564,601,The Monk: A Romance,
Lieut. Gullivar Jones: His Vacation,Q6544445,604,Gulliver of Mars,
Pellucidar (novel),Q928680,605,Pellucidar,
Areopagitica,Q642635,608,Areopagitica\•A Speech for the Liberty of Unlicensed Printing to the Parliament of England,
Sylvie and Bruno,Q1632505,620,Sylvie and Bruno,
The Varieties of Religious Experience,Q2605035,621,The Varieties of Religious Experience: A Study in Human Nature,
The Battle of the Books,Q7715895,623,"The Battle of the Books, and other Short Pieces",
An Outcast of the Islands,Q1090444,638,An Outcast of the Islands,
The Haunted Man and the Ghost's Bargain,Q3795070,644,The Haunted Man and the Ghost's Bargain,
The Figure in the Carpet,Q3224800,645,The Figure in the Carpet,
